Algorithm,Processes,Size,Latency
chain,16,512,1.61
chain,16,1024,1.84
chain,16,2048,2.56
chain,16,4096,3.59
chain,16,8192,5.55
chain,16,16384,9.30
chain,16,32768,16.13
chain,16,65536,29.22
chain,16,131072,54.23
chain,16,262144,142.87
chain,16,524288,307.53
chain,16,1048576,740.90
chain,32,2,2.22
chain,32,4,2.16
chain,32,8,2.18
chain,32,16,2.14
chain,32,32,2.39
chain,32,64,2.51
chain,32,128,2.89
chain,32,256,3.13
chain,32,512,3.23
chain,32,1024,3.76
chain,32,2048,5.05
chain,32,4096,7.04
chain,32,8192,10.84
chain,32,16384,21.91
chain,32,32768,27.71
chain,32,65536,48.30
chain,32,131072,87.36
chain,32,262144,240.92
chain,32,524288,508.52
chain,32,1048576,1136.73
chain,64,2,
chain,64,4,
chain,64,8,
chain,64,16,
chain,64,32,
chain,64,64,
chain,64,128,
chain,64,256,
chain,64,512,
chain,64,1024,
chain,64,2048,
chain,64,4096,
chain,64,8192,
chain,64,16384,
chain,64,32768,
chain,64,65536,
chain,64,131072,
chain,64,262144,
chain,64,524288,
chain,64,1048576,
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
chain,128,1024,
chain,128,2048,
chain,128,4096,
chain,128,8192,
chain,128,16384,
chain,128,32768,
chain,128,65536,
chain,128,131072,
chain,128,262144,
chain,128,524288,
chain,128,1048576,
chain,256,2,
chain,256,4,
chain,256,8,
chain,256,16,
chain,256,32,
chain,256,64,
chain,256,128,
chain,256,256,
chain,256,512,
chain,256,1024,
chain,256,2048,
chain,256,4096,
chain,256,8192,
chain,256,16384,
chain,256,32768,
chain,256,65536,
chain,256,131072,
chain,256,262144,
chain,256,524288,
chain,256,1048576,
basic_linear,2,2,0.20
basic_linear,2,4,0.19
basic_linear,2,8,0.20
basic_linear,2,16,0.20
basic_linear,2,32,0.24
basic_linear,2,64,0.21
basic_linear,2,128,0.30
basic_linear,2,256,0.32
basic_linear,2,512,0.35
basic_linear,2,1024,0.40
basic_linear,2,2048,0.54
basic_linear,2,4096,0.85
basic_linear,2,8192,1.39
basic_linear,2,16384,2.53
basic_linear,2,32768,4.57
basic_linear,2,65536,8.55
basic_linear,2,131072,16.06
basic_linear,2,262144,20.39
basic_linear,2,524288,52.67
basic_linear,2,1048576,126.24
basic_linear,4,2,0.38
basic_linear,4,4,0.35
