Algorithm,Processes,Size,Latency
chain,16,512,2.39
chain,16,1024,2.83
chain,16,2048,3.56
chain,16,4096,5.07
chain,16,8192,7.72
chain,16,16384,18.65
chain,16,32768,31.37
chain,16,65536,57.76
chain,16,131072,102.17
chain,16,262144,196.20
chain,16,524288,397.07
chain,16,1048576,736.23
chain,32,2,2.54
chain,32,4,2.55
chain,32,8,2.58
chain,32,16,2.53
chain,32,32,2.86
chain,32,64,2.94
chain,32,128,3.93
chain,32,256,4.16
chain,32,512,4.43
chain,32,1024,6.61
chain,32,2048,6.79
chain,32,4096,9.46
chain,32,8192,14.63
chain,32,16384,30.29
chain,32,32768,44.94
chain,32,65536,72.85
chain,32,131072,134.15
chain,32,262144,252.18
chain,32,524288,485.83
chain,32,1048576,913.95
chain,64,2,
chain,64,4,
chain,64,8,
chain,64,16,
chain,64,32,
chain,64,64,
chain,64,128,
chain,64,256,
chain,64,512,
chain,64,1024,
chain,64,2048,
chain,64,4096,
chain,64,8192,
chain,64,16384,
chain,64,32768,
chain,64,65536,
chain,64,131072,
chain,64,262144,
chain,64,524288,
chain,64,1048576,
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
chain,128,1024,
chain,128,2048,
chain,128,4096,
chain,128,8192,
chain,128,16384,
chain,128,32768,
chain,128,65536,
chain,128,131072,
chain,128,262144,
chain,128,524288,
chain,128,1048576,
chain,256,2,
chain,256,4,
chain,256,8,
chain,256,16,
chain,256,32,
chain,256,64,
chain,256,128,
chain,256,256,
chain,256,512,
chain,256,1024,
chain,256,2048,
chain,256,4096,
chain,256,8192,
chain,256,16384,
chain,256,32768,
chain,256,65536,
chain,256,131072,
chain,256,262144,
chain,256,524288,
chain,256,1048576,
basic_linear,2,2,0.20
basic_linear,2,4,0.20
basic_linear,2,8,0.20
basic_linear,2,16,0.20
basic_linear,2,32,0.26
basic_linear,2,64,0.21
basic_linear,2,128,0.32
basic_linear,2,256,0.33
basic_linear,2,512,0.34
basic_linear,2,1024,0.43
basic_linear,2,2048,0.52
basic_linear,2,4096,0.83
basic_linear,2,8192,1.42
basic_linear,2,16384,3.11
basic_linear,2,32768,5.31
basic_linear,2,65536,6.74
basic_linear,2,131072,10.03
basic_linear,2,262144,16.09
basic_linear,2,524288,29.55
basic_linear,2,1048576,60.85
basic_linear,4,2,0.19
basic_linear,4,4,0.18
basic_linear,4,8,0.22
basic_linear,4,16,0.20
basic_linear,4,32,0.25
basic_linear,4,64,0.24
basic_linear,4,128,0.40
basic_linear,4,256,0.46
basic_linear,4,512,0.52
basic_linear,4,1024,0.72
basic_linear,4,2048,1.03
basic_linear,4,4096,1.65
basic_linear,4,8192,2.52
basic_linear,4,16384,5.65
basic_linear,4,32768,9.09
basic_linear,4,65536,14.69
basic_linear,4,131072,26.74
basic_linear,4,262144,52.01
basic_linear,4,524288,97.91
basic_linear,4,1048576,217.29
basic_linear,8,2,0.64
basic_linear,8,4,0.66
basic_linear,8,8,0.74
basic_linear,8,16,0.67
basic_linear,8,32,0.81
basic_linear,8,64,0.79
basic_linear,8,128,1.37
basic_linear,8,256,1.37
basic_linear,8,512,1.36
basic_linear,8,1024,1.75
basic_linear,8,2048,2.35
basic_linear,8,4096,3.39
basic_linear,8,8192,4.91
basic_linear,8,16384,8.35
basic_linear,8,32768,14.65
basic_linear,8,65536,29.09
basic_linear,8,131072,58.22
basic_linear,8,262144,111.12
basic_linear,8,524288,207.36
basic_linear,8,1048576,435.50
basic_linear,16,2,1.80
basic_linear,16,4,1.50
basic_linear,16,8,1.59
basic_linear,16,16,1.58
basic_linear,16,32,1.84
basic_linear,16,64,1.75
basic_linear,16,128,3.43
basic_linear,16,256,3.40
basic_linear,16,512,3.47
basic_linear,16,1024,4.53
basic_linear,16,2048,5.53
basic_linear,16,4096,7.64
basic_linear,16,8192,11.17
basic_linear,16,16384,16.47
basic_linear,16,32768,34.93
basic_linear,16,65536,70.61
basic_linear,16,131072,144.28
basic_linear,16,262144,294.84
basic_linear,16,524288,558.30
basic_linear,16,1048576,1053.87
basic_linear,32,2,3.36
basic_linear,32,4,3.28
basic_linear,32,8,3.33
basic_linear,32,16,3.31
basic_linear,32,32,3.73
basic_linear,32,64,3.82
basic_linear,32,128,7.84
basic_linear,32,256,8.07
basic_linear,32,512,8.60
basic_linear,32,1024,11.50
basic_linear,32,2048,15.38
basic_linear,32,4096,19.74
basic_linear,32,8192,28.59
basic_linear,32,16384,20.87
basic_linear,32,32768,44.35
basic_linear,32,65536,93.70
basic_linear,32,131072,197.21
basic_linear,32,262144,392.57
basic_linear,32,524288,790.01
basic_linear,32,1048576,1432.21
basic_linear,64,2,
basic_linear,64,4,
basic_linear,64,8,
basic_linear,64,16,
basic_linear,64,32,
basic_linear,64,64,
basic_linear,64,128,
basic_linear,64,256,
basic_linear,64,512,
basic_linear,64,1024,
basic_linear,64,2048,
basic_linear,64,4096,
basic_linear,64,8192,
basic_linear,64,16384,
basic_linear,64,32768,
basic_linear,64,65536,
basic_linear,64,131072,
basic_linear,64,262144,
basic_linear,64,524288,
basic_linear,64,1048576,
basic_linear,128,2,
basic_linear,128,4,
basic_linear,128,8,
basic_linear,128,16,
basic_linear,128,32,
basic_linear,128,64,
basic_linear,128,128,
basic_linear,128,256,
basic_linear,128,512,
basic_linear,128,1024,
basic_linear,128,2048,
basic_linear,128,4096,
basic_linear,128,8192,
basic_linear,128,16384,
basic_linear,128,32768,
basic_linear,128,65536,
basic_linear,128,131072,
basic_linear,128,262144,
basic_linear,128,524288,
basic_linear,128,1048576,
basic_linear,256,2,
basic_linear,256,4,
basic_linear,256,8,
basic_linear,256,16,
basic_linear,256,32,
basic_linear,256,64,
basic_linear,256,128,
basic_linear,256,256,
basic_linear,256,512,
basic_linear,256,1024,
basic_linear,256,2048,
basic_linear,256,4096,
basic_linear,256,8192,
basic_linear,256,16384,
basic_linear,256,32768,
basic_linear,256,65536,
basic_linear,256,131072,
basic_linear,256,262144,
basic_linear,256,524288,
basic_linear,256,1048576,
