Algorithm,Processes,Size,Latency
basic_linear,20,2048,7.83
basic_linear,20,4096,10.88
basic_linear,20,8192,15.74
basic_linear,20,16384,20.96
basic_linear,20,32768,41.09
basic_linear,20,65536,88.39
basic_linear,20,131072,187.72
basic_linear,20,262144,375.49
basic_linear,20,524288,767.93
basic_linear,20,1048576,1431.67
basic_linear,22,2,2.39
basic_linear,22,4,2.6
basic_linear,22,8,2.39
basic_linear,22,16,2.36
basic_linear,22,32,2.83
basic_linear,22,64,2.89
basic_linear,22,128,5.17
basic_linear,22,256,5.25
basic_linear,22,512,5.51
basic_linear,22,1024,7.4
basic_linear,22,2048,8.88
basic_linear,22,4096,12.42
basic_linear,22,8192,19.34
basic_linear,22,16384,20.27
basic_linear,22,32768,46.47
basic_linear,22,65536,99.43
basic_linear,22,131072,204.46
basic_linear,22,262144,409.33
basic_linear,22,524288,853.59
basic_linear,22,1048576,1532.69
basic_linear,24,2,2.68
basic_linear,24,4,2.63
basic_linear,24,8,2.62
basic_linear,24,16,2.58
basic_linear,24,32,3.19
basic_linear,24,64,3.11
basic_linear,24,128,5.98
basic_linear,24,256,6.06
basic_linear,24,512,6.33
basic_linear,24,1024,8.48
basic_linear,24,2048,10.2
basic_linear,24,4096,14.19
basic_linear,24,8192,21.64
basic_linear,24,16384,22.5
basic_linear,24,32768,50.27
basic_linear,24,65536,107.11
basic_linear,24,131072,185.99
basic_linear,24,262144,446.41
basic_linear,24,524288,882.73
basic_linear,24,1048576,1788.18
basic_linear,26,2,2.41
basic_linear,26,4,2.32
basic_linear,26,8,2.36
basic_linear,26,16,2.33
basic_linear,26,32,2.89
basic_linear,26,64,2.82
basic_linear,26,128,5.91
basic_linear,26,256,6.18
basic_linear,26,512,6.47
basic_linear,26,1024,8.73
basic_linear,26,2048,10.97
basic_linear,26,4096,15.89
basic_linear,26,8192,22.73
basic_linear,26,16384,21.73
basic_linear,26,32768,48.95
basic_linear,26,65536,103.8
basic_linear,26,131072,210.15
basic_linear,26,262144,432.81
basic_linear,26,524288,853.82
basic_linear,26,1048576,1652.76
basic_linear,28,2,2.45
basic_linear,28,4,2.45
basic_linear,28,8,2.49
basic_linear,28,16,2.47
basic_linear,28,32,2.92
basic_linear,28,64,3.1
basic_linear,28,128,6.3
basic_linear,28,256,6.45
basic_linear,28,512,6.96
basic_linear,28,1024,9.46
basic_linear,28,2048,12.26
basic_linear,28,4096,16.46
basic_linear,28,8192,24.35
basic_linear,28,16384,21.27
basic_linear,28,32768,45.24
basic_linear,28,65536,98.84
basic_linear,28,131072,199.57
basic_linear,28,262144,407.57
basic_linear,28,524288,822.34
basic_linear,28,1048576,1580.68
basic_linear,30,2,2.89
basic_linear,30,4,2.78
basic_linear,30,8,2.69
basic_linear,30,16,2.8
basic_linear,30,32,3.33
basic_linear,30,64,3.43
basic_linear,30,128,7.0
basic_linear,30,256,7.37
basic_linear,30,512,7.74
basic_linear,30,1024,10.38
basic_linear,30,2048,13.85
basic_linear,30,4096,18.69
basic_linear,30,8192,26.22
basic_linear,30,16384,21.13
basic_linear,30,32768,44.4
basic_linear,30,65536,94.34
basic_linear,30,131072,195.78
basic_linear,30,262144,379.16
basic_linear,30,524288,790.35
basic_linear,30,1048576,1528.66
basic_linear,32,2,3.35
basic_linear,32,4,3.35
basic_linear,32,8,3.3
basic_linear,32,16,3.29
