Algorithm,Processes,Size,Latency
chain,24,1048576,944.48
chain,26,2,2.12
chain,26,4,2.19
chain,26,8,2.16
chain,26,16,2.14
chain,26,32,2.56
chain,26,64,2.57
chain,26,128,3.24
chain,26,256,3.42
chain,26,512,3.66
chain,26,1024,4.41
chain,26,2048,5.51
chain,26,4096,7.79
chain,26,8192,11.67
chain,26,16384,27.24
chain,26,32768,41.75
chain,26,65536,71.39
chain,26,131072,130.86
chain,26,262144,249.0
chain,26,524288,484.2
chain,26,1048576,955.06
chain,28,2,2.09
chain,28,4,2.09
chain,28,8,2.09
chain,28,16,2.15
chain,28,32,2.54
chain,28,64,2.58
chain,28,128,3.33
chain,28,256,3.48
chain,28,512,3.81
chain,28,1024,4.59
chain,28,2048,5.76
chain,28,4096,8.15
chain,28,8192,12.57
chain,28,16384,28.87
chain,28,32768,43.93
chain,28,65536,73.79
chain,28,131072,135.53
chain,28,262144,261.1
chain,28,524288,518.32
chain,28,1048576,999.59
chain,30,2,2.09
chain,30,4,2.11
chain,30,8,2.16
chain,30,16,2.11
chain,30,32,2.54
chain,30,64,2.63
chain,30,128,3.48
chain,30,256,3.6
chain,30,512,3.85
chain,30,1024,4.74
chain,30,2048,5.99
chain,30,4096,8.65
chain,30,8192,14.31
chain,30,16384,30.49
chain,30,32768,45.35
chain,30,65536,76.02
chain,30,131072,139.31
chain,30,262144,263.55
chain,30,524288,516.89
chain,30,1048576,1014.94
chain,32,2,2.49
chain,32,4,2.6
chain,32,8,2.51
chain,32,16,2.53
chain,32,32,2.86
chain,32,64,2.97
chain,32,128,3.93
chain,32,256,4.24
chain,32,512,4.41
chain,32,1024,6.34
chain,32,2048,7.94
chain,32,4096,10.7
chain,32,8192,18.45
chain,32,16384,31.77
chain,32,32768,44.01
chain,32,65536,66.88
chain,32,131072,131.69
chain,32,262144,245.54
chain,32,524288,466.19
chain,32,1048576,917.09
chain,34,2,4.59
chain,34,4,4.59
chain,34,8,4.64
chain,34,16,4.57
chain,34,32,4.82
chain,34,64,4.96
chain,34,128,5.85
chain,34,256,6.21
chain,34,512,6.43
chain,34,1024,7.25
chain,34,2048,12.06
chain,34,4096,15.52
chain,34,8192,16.8
chain,34,16384,33.3
chain,34,32768,49.59
chain,34,65536,78.71
chain,34,131072,138.55
chain,34,262144,262.82
chain,34,524288,496.1
chain,34,1048576,968.16
chain,36,2,4.75
chain,36,4,4.65
chain,36,8,4.69
chain,36,16,4.67
chain,36,32,4.98
chain,36,64,5.07
chain,36,128,6.14
chain,36,256,6.58
chain,36,512,6.69
chain,36,1024,7.66
chain,36,2048,12.54
chain,36,4096,13.7
chain,36,8192,17.86
chain,36,16384,34.98
chain,36,32768,50.7
chain,36,65536,80.58
chain,36,131072,145.08
chain,36,262144,277.04
chain,36,524288,534.43
chain,36,1048576,1056.21
chain,38,2,4.29
chain,38,4,4.32
chain,38,8,4.32
chain,38,16,4.26
chain,38,32,4.57
chain,38,64,5.01
chain,38,128,5.68
chain,38,256,6.03
chain,38,512,6.31
chain,38,1024,7.14
chain,38,2048,8.8
chain,38,4096,12.75
chain,38,8192,17.66
chain,38,16384,35.18
chain,38,32768,51.88
chain,38,65536,84.86
chain,38,131072,148.16
chain,38,262144,279.73
chain,38,524288,551.44
chain,38,1048576,1052.78
chain,40,2,4.38
chain,40,4,4.34
chain,40,8,4.32
chain,40,16,4.33
chain,40,32,4.72
chain,40,64,4.89
chain,40,128,5.85
chain,40,256,6.21
chain,40,512,6.69
chain,40,1024,7.62
chain,40,2048,10.48
chain,40,4096,13.6
chain,40,8192,18.79
chain,40,16384,37.56
chain,40,32768,54.2
chain,40,65536,87.45
chain,40,131072,155.3
chain,40,262144,301.86
chain,40,524288,567.87
chain,40,1048576,1109.68
chain,42,2,4.32
chain,42,4,4.17
chain,42,8,4.13
chain,42,16,4.25
chain,42,32,4.56
chain,42,64,4.68
chain,42,128,6.22
chain,42,256,6.48
chain,42,512,6.82
chain,42,1024,11.8
chain,42,2048,10.77
chain,42,4096,13.6
chain,42,8192,19.57
chain,42,16384,37.48
chain,42,32768,55.58
chain,42,65536,87.18
chain,42,131072,154.28
chain,42,262144,297.01
chain,42,524288,572.89
chain,42,1048576,1120.34
chain,44,2,3.68
chain,44,4,3.65
chain,44,8,3.6
chain,44,16,3.57
chain,44,32,4.23
chain,44,64,4.41
chain,44,128,5.61
chain,44,256,5.95
chain,44,512,6.31
chain,44,1024,8.15
chain,44,2048,12.65
chain,44,4096,13.43
chain,44,8192,20.06
chain,44,16384,38.07
chain,44,32768,55.61
chain,44,65536,90.19
chain,44,131072,158.45
chain,44,262144,298.64
chain,44,524288,584.74
chain,44,1048576,1135.85
chain,46,2,3.85
chain,46,4,3.81
chain,46,8,3.9
chain,46,16,3.81
chain,46,32,4.28
chain,46,64,4.34
chain,46,128,5.36
chain,46,256,5.79
chain,46,512,6.2
chain,46,1024,7.27
chain,46,2048,14.14
chain,46,4096,19.36
chain,46,8192,19.77
chain,46,16384,38.82
chain,46,32768,56.07
chain,46,65536,87.03
chain,46,131072,148.21
chain,46,262144,276.46
chain,46,524288,539.98
chain,46,1048576,1074.26
chain,48,2,4.1
chain,48,4,4.19
chain,48,8,4.2
chain,48,16,4.14
chain,48,32,4.54
chain,48,64,4.73
chain,48,128,5.69
chain,48,256,5.87
chain,48,512,6.33
chain,48,1024,7.35
chain,48,2048,11.35
chain,48,4096,13.5
chain,48,8192,19.81
chain,48,16384,39.41
chain,48,32768,56.68
chain,48,65536,87.34
chain,48,131072,151.94
chain,48,262144,282.73
chain,48,524288,554.14
chain,48,1048576,1100.68
