Algorithm,Processes,Size,Latency
chain,16,8,0.81
chain,16,16,0.81
chain,16,32,0.94
chain,16,64,0.94
chain,16,128,1.44
chain,16,256,1.51
chain,16,512,1.58
chain,16,1024,2.01
chain,16,2048,2.82
chain,16,4096,4.22
chain,16,8192,6.06
chain,16,16384,15.42
chain,16,32768,23.88
chain,16,65536,41.65
chain,16,131072,81.30
chain,16,262144,148.21
chain,16,524288,288.36
chain,16,1048576,561.39
chain,32,2,1.72
chain,32,4,2.03
chain,32,8,1.77
chain,32,16,1.69
chain,32,32,2.10
chain,32,64,2.03
chain,32,128,2.89
chain,32,256,2.98
chain,32,512,3.26
chain,32,1024,4.06
chain,32,2048,5.32
chain,32,4096,7.48
chain,32,8192,11.42
chain,32,16384,34.04
chain,32,32768,46.19
chain,32,65536,75.70
chain,32,131072,138.22
chain,32,262144,266.12
chain,32,524288,549.42
chain,32,1048576,1078.47
chain,64,2,2.88
chain,64,4,2.81
chain,64,8,2.78
chain,64,16,2.82
chain,64,32,3.33
chain,64,64,3.22
chain,64,128,4.79
chain,64,256,4.99
chain,64,512,5.41
chain,64,1024,13.73
chain,64,2048,9.98
chain,64,4096,13.90
chain,64,8192,23.55
chain,64,16384,44.93
chain,64,32768,66.75
chain,64,65536,110.68
chain,64,131072,209.74
chain,64,262144,402.89
chain,64,524288,787.10
chain,64,1048576,1578.75
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
chain,128,1024,
chain,128,2048,
chain,128,4096,
chain,128,8192,
chain,128,16384,
chain,128,32768,
chain,128,65536,
chain,128,131072,
chain,128,262144,
chain,128,524288,
chain,128,1048576,
chain,256,2,
chain,256,4,
chain,256,8,
chain,256,16,
chain,256,32,
chain,256,64,
chain,256,128,
chain,256,256,
chain,256,512,
chain,256,1024,
chain,256,2048,
chain,256,4096,
chain,256,8192,
chain,256,16384,
chain,256,32768,
chain,256,65536,
chain,256,131072,
chain,256,262144,
chain,256,524288,
chain,256,1048576,
basic_linear,2,2,0.18
basic_linear,2,4,0.17
basic_linear,2,8,0.18
basic_linear,2,16,0.18
basic_linear,2,32,0.21
basic_linear,2,64,0.21
basic_linear,2,128,0.25
basic_linear,2,256,0.29
basic_linear,2,512,0.32
basic_linear,2,1024,0.37
basic_linear,2,2048,0.46
basic_linear,2,4096,0.73
basic_linear,2,8192,1.19
basic_linear,2,16384,2.79
basic_linear,2,32768,4.64
basic_linear,2,65536,6.03
basic_linear,2,131072,8.89
basic_linear,2,262144,13.94
basic_linear,2,524288,26.09
basic_linear,2,1048576,52.80
basic_linear,4,2,0.18
basic_linear,4,4,0.21
basic_linear,4,8,0.17
basic_linear,4,16,0.18
basic_linear,4,32,0.24
basic_linear,4,64,0.23
basic_linear,4,128,0.54
basic_linear,4,256,0.45
basic_linear,4,512,0.46
basic_linear,4,1024,0.65
basic_linear,4,2048,0.94
basic_linear,4,4096,1.47
basic_linear,4,8192,2.39
basic_linear,4,16384,4.97
basic_linear,4,32768,7.61
basic_linear,4,65536,13.15
basic_linear,4,131072,23.96
basic_linear,4,262144,46.45
basic_linear,4,524288,90.19
basic_linear,4,1048576,196.69
basic_linear,8,2,0.56
basic_linear,8,4,0.64
basic_linear,8,8,0.61
basic_linear,8,16,1.03
basic_linear,8,32,0.86
basic_linear,8,64,0.73
basic_linear,8,128,1.23
basic_linear,8,256,1.27
basic_linear,8,512,1.23
basic_linear,8,1024,1.64
basic_linear,8,2048,2.13
basic_linear,8,4096,3.21
basic_linear,8,8192,4.72
basic_linear,8,16384,7.47
basic_linear,8,32768,13.24
basic_linear,8,65536,25.83
basic_linear,8,131072,52.42
basic_linear,8,262144,84.08
basic_linear,8,524288,206.57
basic_linear,8,1048576,406.96
basic_linear,16,2,1.00
basic_linear,16,4,0.99
basic_linear,16,8,1.81
basic_linear,16,16,0.98
basic_linear,16,32,1.24
basic_linear,16,64,1.26
basic_linear,16,128,2.18
basic_linear,16,256,2.22
basic_linear,16,512,2.11
basic_linear,16,1024,3.11
basic_linear,16,2048,3.83
basic_linear,16,4096,5.69
basic_linear,16,8192,8.75
basic_linear,16,16384,13.44
basic_linear,16,32768,24.99
basic_linear,16,65536,51.66
basic_linear,16,131072,104.50
basic_linear,16,262144,204.76
basic_linear,16,524288,423.22
basic_linear,16,1048576,808.79
basic_linear,32,2,3.92
basic_linear,32,4,3.55
basic_linear,32,8,3.50
basic_linear,32,16,3.21
basic_linear,32,32,3.88
basic_linear,32,64,3.66
basic_linear,32,128,7.32
basic_linear,32,256,7.45
basic_linear,32,512,7.69
basic_linear,32,1024,10.23
basic_linear,32,2048,13.94
basic_linear,32,4096,16.54
basic_linear,32,8192,23.62
basic_linear,32,16384,27.98
basic_linear,32,32768,65.88
basic_linear,32,65536,144.00
basic_linear,32,131072,303.98
basic_linear,32,262144,606.00
basic_linear,32,524288,1249.27
basic_linear,32,1048576,2338.27
basic_linear,64,2,4.07
basic_linear,64,4,4.02
basic_linear,64,8,4.07
basic_linear,64,16,4.12
basic_linear,64,32,5.45
basic_linear,64,64,5.08
basic_linear,64,128,11.65
basic_linear,64,256,12.42
basic_linear,64,512,12.98
basic_linear,64,1024,18.43
basic_linear,64,2048,22.42
basic_linear,64,4096,32.08
basic_linear,64,8192,49.35
basic_linear,64,16384,33.49
basic_linear,64,32768,63.65
basic_linear,64,65536,152.96
basic_linear,64,131072,318.36
basic_linear,64,262144,537.74
basic_linear,64,524288,1313.22
basic_linear,64,1048576,2319.23
basic_linear,128,2,
basic_linear,128,4,
basic_linear,128,8,
basic_linear,128,16,
basic_linear,128,32,
basic_linear,128,64,
basic_linear,128,128,
basic_linear,128,256,
basic_linear,128,512,
basic_linear,128,1024,
basic_linear,128,2048,
basic_linear,128,4096,
basic_linear,128,8192,
basic_linear,128,16384,
basic_linear,128,32768,
basic_linear,128,65536,
basic_linear,128,131072,
basic_linear,128,262144,
basic_linear,128,524288,
basic_linear,128,1048576,
basic_linear,256,2,
basic_linear,256,4,
basic_linear,256,8,
basic_linear,256,16,
basic_linear,256,32,
basic_linear,256,64,
basic_linear,256,128,
basic_linear,256,256,
basic_linear,256,512,
basic_linear,256,1024,
basic_linear,256,2048,
basic_linear,256,4096,
basic_linear,256,8192,
basic_linear,256,16384,
basic_linear,256,32768,
basic_linear,256,65536,
basic_linear,256,131072,
basic_linear,256,262144,
basic_linear,256,524288,
basic_linear,256,1048576,
