Algorithm,Processes,Size,Latency
chain,16,8,0.68
chain,16,16,0.71
chain,16,32,0.86
chain,16,64,0.76
chain,16,128,1.03
chain,16,256,1.05
chain,16,512,1.09
chain,16,1024,1.28
chain,16,2048,1.80
chain,16,4096,2.69
chain,16,8192,4.29
chain,16,16384,7.22
chain,16,32768,12.42
chain,16,65536,23.16
chain,16,131072,45.10
chain,16,262144,121.67
chain,16,524288,267.47
chain,16,1048576,682.19
chain,32,2,1.96
chain,32,4,1.87
chain,32,8,1.87
chain,32,16,1.86
chain,32,32,2.18
chain,32,64,2.16
chain,32,128,2.67
chain,32,256,2.65
chain,32,512,2.75
chain,32,1024,3.19
chain,32,2048,4.21
chain,32,4096,5.70
chain,32,8192,8.89
chain,32,16384,17.96
chain,32,32768,25.81
chain,32,65536,42.18
chain,32,131072,77.41
chain,32,262144,209.79
chain,32,524288,460.40
chain,32,1048576,1181.50
chain,64,2,3.71
chain,64,4,3.54
chain,64,8,3.50
chain,64,16,3.36
chain,64,32,4.01
chain,64,64,4.10
chain,64,128,4.94
chain,64,256,5.03
chain,64,512,11.89
chain,64,1024,6.26
chain,64,2048,13.47
chain,64,4096,11.74
chain,64,8192,18.11
chain,64,16384,28.14
chain,64,32768,45.97
chain,64,65536,80.08
chain,64,131072,146.22
chain,64,262144,415.77
chain,64,524288,973.29
chain,64,1048576,2318.83
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
chain,128,1024,
chain,128,2048,
chain,128,4096,
chain,128,8192,
chain,128,16384,
chain,128,32768,
chain,128,65536,
chain,128,131072,
chain,128,262144,
chain,128,524288,
chain,128,1048576,
chain,256,2,
chain,256,4,
chain,256,8,
chain,256,16,
chain,256,32,
chain,256,64,
chain,256,128,
chain,256,256,
chain,256,512,
chain,256,1024,
chain,256,2048,
chain,256,4096,
chain,256,8192,
chain,256,16384,
chain,256,32768,
chain,256,65536,
chain,256,131072,
chain,256,262144,
chain,256,524288,
chain,256,1048576,
basic_linear,2,2,0.17
basic_linear,2,4,0.17
basic_linear,2,8,0.17
basic_linear,2,16,0.18
basic_linear,2,32,0.21
basic_linear,2,64,0.22
basic_linear,2,128,0.29
basic_linear,2,256,0.30
basic_linear,2,512,0.32
basic_linear,2,1024,0.37
basic_linear,2,2048,0.50
basic_linear,2,4096,0.75
basic_linear,2,8192,1.21
basic_linear,2,16384,2.23
basic_linear,2,32768,4.00
basic_linear,2,65536,7.49
basic_linear,2,131072,14.23
basic_linear,2,262144,17.40
basic_linear,2,524288,49.96
basic_linear,2,1048576,117.68
basic_linear,4,2,0.39
basic_linear,4,4,0.33
basic_linear,4,8,0.35
basic_linear,4,16,0.33
basic_linear,4,32,0.37
basic_linear,4,64,0.36
basic_linear,4,128,0.43
basic_linear,4,256,0.44
basic_linear,4,512,0.49
basic_linear,4,1024,0.54
basic_linear,4,2048,0.68
basic_linear,4,4096,1.03
basic_linear,4,8192,1.65
basic_linear,4,16384,3.38
basic_linear,4,32768,6.43
basic_linear,4,65536,13.09
basic_linear,4,131072,26.51
basic_linear,4,262144,58.62
basic_linear,4,524288,132.00
basic_linear,4,1048576,292.58
basic_linear,8,2,0.48
basic_linear,8,4,0.48
basic_linear,8,8,0.45
basic_linear,8,16,0.48
basic_linear,8,32,0.49
basic_linear,8,64,0.49
basic_linear,8,128,0.60
basic_linear,8,256,0.61
basic_linear,8,512,0.66
basic_linear,8,1024,0.72
basic_linear,8,2048,0.87
basic_linear,8,4096,1.25
basic_linear,8,8192,2.12
basic_linear,8,16384,4.39
basic_linear,8,32768,8.19
basic_linear,8,65536,14.81
basic_linear,8,131072,30.70
basic_linear,8,262144,120.84
basic_linear,8,524288,298.71
basic_linear,8,1048576,736.47
basic_linear,16,2,0.87
basic_linear,16,4,0.85
basic_linear,16,8,0.82
basic_linear,16,16,0.84
basic_linear,16,32,0.88
basic_linear,16,64,0.86
basic_linear,16,128,0.98
basic_linear,16,256,1.01
basic_linear,16,512,1.06
basic_linear,16,1024,1.10
